,BuyerId,SellerId,Weights
620,zo2r.wam,o4sbs.wam,4
621,yyvai.wam,ls3bm.wam,4
622,sr5r.wam,j2qau.wam,4
623,v.ura.wam,swbaw.wam,4
624,cmrbe.wam,b5iqy.wam,4
625,.ngaw.wam,cuer.wam,4
626,cbk5a.wam,on5r4.wam,4
627,tmzb.wam,rqpr2.wam,4
628,ir1ro.wam,w3ora.wam,4
629,ehgrg.wam,t52r.wam,4
630,5fvr.wam,hmvbc.wam,4
631,rprqy.wam,gq1qw.wam,4
632,cb3r2.wam,i3sba.wam,4
633,franklin.gm,jp2b4.wam,4
634,kxrqy.wam,zyer4.wam,4
635,jddqw.wam,v1yqu.wam,4
636,st5ra.wam,xwurq.wam,4
637,zqmr2.wam,oh5b.wam,4
638,.qzbe.wam,tylerglasnow,4
639,fvmbo.wam,xdtbg.wam,4
640,rt2ri.wam,igtb.wam,4
641,.xdri.wam,5gvba.wam,4
642,a1hri.wam,5fvbg.wam,4
643,j2qau.wam,bajbe.wam,4
644,j2qau.wam,fetre.wam,4
645,j2qau.wam,hqybe.wam,4
646,j2qau.wam,sywrg.wam,4
647,j2qau.wam,upabq.wam,4
648,arore.wam,kfpr2.wam,4
649,2otr.wam,ocprg.wam,4
650,e5lbi.wam,hzcr4.wam,4
651,vpir2.wam,n53aw.wam,4
652,c4obk.wam,v1yqu.wam,4
653,izlbg.wam,41lbq.wam,4
654,izlbg.wam,f2obk.wam,4
655,izlbg.wam,kxdbi.wam,4
656,izlbg.wam,3wkbg.wam,4
657,izlbg.wam,x3pr4.wam,4
658,izlbg.wam,isnbs.wam,4
659,izlbg.wam,essri.wam,4
660,drnre.wam,gjcbq.wam,4
661,4peqw.wam,3jpqw.wam,4
662,fmtb4.wam,r3yra.wam,4
663,lt4r4.wam,q52bo.wam,4
664,sxcba.wam,xl3b4.wam,4
665,tqpre.wam,oh5b.wam,4
666,qdpbe.wam,zvob.wam,4
667,11pre.wam,tqxrg.wam,4
668,zzbr4.wam,iohrs.wam,4
669,zzbr4.wam,uiebe.wam,4
670,fwmr.wam,cadr.wam,4
671,rmhqs.wam,hi1qy.wam,4
672,d2gaq.wam,.trre.wam,4
673,v1yqu.wam,sz1re.wam,4
674,rdqqy.wam,j4eag.wam,4
675,nneau.wam,isuqy.wam,4
676,nneau.wam,wasrg.wam,4
677,nneau.wam,1pvqy.wam,4
678,n1xri.wam,xisk2.wam,4
